CNAE;Descrição
7721-7/00;Aluguel de equipamentos recreativos e esportivos
7722-5/00;Aluguel de fitas de vídeo, DVDs e similares
7723-3/00;Aluguel de objetos do vestuário, jóias e acessórios
7729-2/01;Aluguel de aparelhos de jogos eletrônicos
7729-2/02;"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais"
7729-2/03;Aluguel de material médico
7729-2/99;Aluguel de outros objetos pessoais e domésticos não especificados anteriormente
7731-4/00;Aluguel de máquinas e equipamentos agrícolas sem operador
7732-2/01;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes
7732-2/02;Aluguel de andaimes
7733-1/00;Aluguel de máquinas e equipamentos para escritório
7739-0/01;Aluguel de máquinas e equipamentos para extração de minérios e petróleo, sem operador
7739-0/02;Aluguel de equipamentos científicos, médicos e hospitalares, sem operador
7739-0/03;Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes
7739-0/99;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador
7740-3/00;Gestão de ativos intangíveis não-financeiros
7810-8/00;Seleção e agenciamento de mão-de-obra
7820-5/00;Locação de mão-de-obra temporária
7830-2/00;Fornecimento e gestão de recursos humanos para terceiros
7911-2/00;Agências de viagens
7912-1/00;Operadores turísticos
7990-2/00;Serviços de reservas e outros serviços de turismo não especificados anteriormente
8011-1/01;Atividades de vigilância e segurança privada
8011-1/02;Serviços de adestramento de cães de guarda
8020-0/00;Atividades de monitoramento de sistemas de segurança
8030-7/00;Atividades de investigação particular
8111-7/00;Serviços combinados para apoio a edifícios, exceto condomínios prediais
8112-5/00;Condomínios prediais
8121-4/00;Limpeza em prédios e em domicílios
8122-2/00;Imunização e controle de pragas urbanas
8129-0/00;Atividades de limpeza não especificadas anteriormente
8130-3/00;Atividades paisagísticas
8211-3/00;Serviços combinados de escritório e apoio administrativo
8219-9/01;Fotocópias
8219-9/99;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente
8220-2/00;Atividades de teleatendimento
8230-0/01;Serviços de organização de feiras, congressos, exposições e festas
8230-0/02;Casas de festas e eventos
8291-1/00;Atividades de cobrança e informações cadastrais
;Envasamento e empacotamento sob contrato
8292-0/00;Envasamento e empacotamento sob contrato
8299-7/01;Medição de consumo de energia elétrica, gás e água
8299-7/02;Emissão de vales-alimentação, vales-transporte e similares
8299-7/03;Serviços de gravação de carimbos, exceto confecção
8299-7/04;Leiloeiros independentes
8299-7/05;Serviços de levantamento de fundos sob contrato
8299-7/06;Casas lotéricas
8299-7/07;Salas de acesso à internet
8299-7/99;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
8411-6/00;Administração pública em geral
8412-4/00;Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais
8413-2/00;Regulação das atividades econômicas
8421-3/00;Relações exteriores
8422-1/00;Defesa
8423-0/00;Justiça
8424-8/00;Segurança e ordem pública
8425-6/00;Defesa Civil
8430-2/00;Seguridade social obrigatória
8511-2/00;Educação infantil - creche
8512-1/00;Educação infantil - pré-escola
8513-9/00;Ensino fundamental
8520-1/00;Ensino médio
8531-7/00;Educação superior - graduação
8532-5/00;Educação superior - graduação e pós-graduação
8533-3/00;Educação superior - pós-graduação e extensão
8541-4/00;Educação profissional de nível técnico
8542-2/00;Educação profissional de nível tecnológico
8550-3/01;Administração de caixas escolares
8550-3/02;Atividades de apoio à educação, exceto caixas escolares
8591-1/00;Ensino de esportes
8592-9/01;Ensino de dança
8592-9/02;Ensino de artes cênicas, exceto dança
8592-9/03;Ensino de música
8592-9/99;Ensino de arte e cultura não especificado anteriormente
8593-7/00;Ensino de idiomas
8599-6/01;Formação de condutores
8599-6/02;Cursos de pilotagem
8599-6/03;Treinamento em informática
8599-6/04;Treinamento em desenvolvimento profissional e gerencial
8599-6/05;Cursos preparatórios para concursos
8599-6/99;Outras atividades de ensino não especificadas anteriormente
8610-1/01;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências
8610-1/02;Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências
8621-6/01;UTI móvel
8621-6/02;Serviços móveis de atendimento a urgências, exceto por UTI móvel
8622-4/00;Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências
8630-5/01;Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos
8630-5/02;Atividade médica ambulatorial com recursos para realização de exames complementares
8630-5/03;Atividade médica ambulatorial restrita a consultas
8630-5/04;Atividade odontológica
8630-5/06;Serviços de vacinação e imunização humana
8630-5/07;Atividades de reprodução humana assistida
8630-5/99;Atividades de atenção ambulatorial não especificadas anteriormente
8640-2/01;Laboratórios de anatomia patológica e citológica
8640-2/02;Laboratórios clínicos
8640-2/03;Serviços de diálise e nefrologia
8640-2/04;Serviços de tomografia
8640-2/05;Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia
8640-2/06;Serviços de ressonância magnética
8640-2/07;Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética
8640-2/08;Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos
8640-2/09;Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos
8640-2/10;Serviços de quimioterapia
8640-2/11;Serviços de radioterapia
8640-2/12;Serviços de hemoterapia
8640-2/13;Serviços de litotripsia
8640-2/14;Serviços de bancos de células e tecidos humanos
8640-2/99;Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente
8650-0/01;Atividades de enfermagem
8650-0/02;Atividades de profissionais da nutrição
8650-0/03;Atividades de psicologia e psicanálise
8650-0/04;Atividades de fisioterapia
8650-0/05;Atividades de terapia ocupacional
8650-0/06;Atividades de fonoaudiologia
8650-0/07;Atividades de terapia de nutrição enteral e parenteral
8650-0/99;Atividades de profissionais da área de saúde não especificadas anteriormente
8660-7/00;Atividades de apoio à gestão de saúde
8690-9/01;Atividades de práticas integrativas e complementares em saúde humana
8690-9/02;Atividades de bancos de leite humano
8690-9/03;Atividades de acupuntura
8690-9/04;Atividades de podologia
8690-9/99;Outras atividades de atenção à saúde humana não especificadas anteriormente
8711-5/01;Clínicas e residências geriátricas
8711-5/02;Instituições de longa permanência para idosos
8711-5/03;Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes
8711-5/04;Centros de apoio a pacientes com câncer e com AIDS
8711-5/05;Condomínios residenciais para idosos
8712-3/00;Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio
8720-4/01;Atividades de centros de assistência psicossocial
8720-4/99;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente
8730-1/01;Orfanatos
8730-1/02;Albergues assistenciais
8730-1/99;Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente
8800-6/00;Serviços de assistência social sem alojamento
9001-9/01;Produção teatral
9001-9/02;Produção musical
9001-9/03;Produção de espetáculos de dança
9001-9/04;Produção de espetáculos circenses, de marionetes e similares
9001-9/05;Produção de espetáculos de rodeios, vaquejadas e similares
9001-9/06;Atividades de sonorização e de iluminação
9001-9/99;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente
9002-7/01;Atividades de artistas plásticos, jornalistas independentes e escritores
9003-5/00;Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas
9101-5/00;Atividades de bibliotecas e arquivos
9102-3/01;Atividades de museus e de exploração de lugares e prédios históricos e atrações similares
9102-3/02;Restauração e conservação de lugares e prédios históricos
9103-1/00;Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental
9200-3/01;Casas de bingo
9200-3/02;Exploração de apostas em corridas de cavalos
9200-3/99;Exploração de jogos de azar e apostas não especificados anteriormente
9311-5/00;Gestão de instalações de esportes
9312-3/00;Clubes sociais, esportivos e similares
9313-1/00;Atividades de condicionamento físico
9319-1/01;Produção e promoção de eventos esportivos
9319-1/99;Outras atividades esportivas não especificadas anteriormente
9321-2/00;Parques de diversão e parques temáticos
9329-8/01;Discotecas, danceterias, salões de dança e similares
9329-8/02;Exploração de boliches
9329-8/03;Exploração de jogos de sinuca, bilhar e similares
9329-8/04;Exploração de jogos eletrônicos recreativos
9329-8/99;Outras atividades de recreação e lazer não especificadas anteriormente
9411-1/00;Atividades de organizações associativas patronais e empresariais
9412-0/00;Atividades de organizações associativas profissionais
9420-1/00;Atividades de organizações sindicais
9430-8/00;Atividades de associações de defesa de direitos sociais
9491-0/00;Atividades de organizações religiosas
9492-8/00;Atividades de organizações políticas
9493-6/00;Atividades de organizações associativas ligadas à cultura e à arte
9499-5/00;Atividades associativas não especificadas anteriormente
9529-1/02;Chaveiros
9601-7/01;Lavanderias
9601-7/02;Tinturarias
9601-7/03;Toalheiros
9602-5/01;Cabeleireiros
9602-5/02;Atividades de estética e outros serviços de cuidados com a beleza
9603-3/01;Gestão e manutenção de cemitérios
9603-3/02;Serviços de cremação
9603-3/03;Serviços de sepultamento
9603-3/04;Serviços de funerárias
9603-3/05;Serviços de somatoconservação
9603-3/99;Atividades funerárias e serviços relacionados não especificados anteriormente
9609-2/02;Agências matrimoniais
9609-2/03;Alojamento, higiene e embelezamento de animais
9609-2/04;Exploração de máquinas de serviços pessoais acionadas por moeda
9609-2/05;Atividades de sauna e banhos
9609-2/06;Serviços de tatuagem e colocação de piercing
9609-2/99;Outras atividades de serviços pessoais não especificadas anteriormente
9700-5/00;Serviços domésticos
9900-8/00;Organismos internacionais e outras instituições extraterritoriais
