SEÇÃO,DIVISÃO,GRUPO,CLASSE,SUBCLASSE,DENOMINAÇÃO
,,,17.22-1,,Fiação de outras fibras têxteis naturais
,,,17.23-0,,Fiação de fibras artificiais ou sintéticas
,,,17.24-8,,Fabricação de linhas e fios para coser e bordar
,,,,,
,,17.3,,,TECELAGEM - INCLUSIVE FIAÇÃO E TECELAGEM
,,,,,
,,,17.31-0,,Tecelagem de algodão
,,,17.32-9,,Tecelagem de fios de fibras têxteis naturais
,,,17.33-7,,Tecelagem de fios e filamentos contínuos artificiais ou sintéticos
,,,,,
,,17.4,,,"FABRICAÇÃO DE ARTEFATOS TÊXTEIS, INCLUINDO TECELAGEM"
,,,,,
,,,17.41-8,,"Fabricação de artigos de tecido de uso doméstico, incluindo tecelagem"
,,,17.49-3,,"Fabricação de outros artefatos têxteis, incluindo tecelagem"
,,,,,
,,17.5,,,"SERVIÇOS DE ACABAMENTO EM FIOS, TECIDOS E ARTIGOS TÊXTEIS"
,,,,,
,,,17.50-7,,"Serviços de acabamento em fios, tecidos e artigos têxteis produzidos por terceiros"
,,,,,
,,17.6,,,FABRICAÇÃO DE ARTEFATOS TÊXTEIS A PARTIR DE TECIDOS - EXCLUSIVE VESTUÁRIO - E DE OUTROS ARTIGOS TÊXTEIS
,,,,,
,,,17.61-2,,Fabricação de artefatos têxteis a partir de tecidos – exclusive vestuário
,,,17.62-0,,Fabricação de artefatos de tapeçaria
,,,17.63-9,,Fabricação de artefatos de cordoaria
,,,17.64-7,,Fabricação de tecidos especiais - inclusive artefatos
,,,17.69-8,,Fabricação de outros artigos têxteis - exclusive vestuário
,,,,,
,,17.7,,,FABRICAÇÃO DE TECIDOS E ARTIGOS DE MALHA
,,,,,
,,,17.71-0,,Fabricação de tecidos de malha
,,,17.72-8,,Fabricação de meias
,,,17.79-5,,Fabricação de outros artigos do vestuário produzidos em malharias (tricotagens)
,,,,,
,18,,,,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
,,,,,
,,18.1,,,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO
,,,,,
,,,18.11-2,,Confecção de peças interiores do vestuário
,,,18.12-0,,Confecção de outras peças do vestuário
,,,18.13-9,,Confecção de roupas profissionais
,,,,,
,,18.2,,,FABRICAÇÃO DE ACESSÓRIOS DO VESTUÁRIO E DE SEGURANÇA PROFISSIONAL
,,,,,
,,,18.21-0,,Fabricação de acessórios do vestuário
,,,18.22-8,,Fabricação de acessórios para segurança industrial e pessoal
,,,,,
,19,,,,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS DE VIAGEM E CALÇADOS"
,,,,,
,,19.1,,,CURTIMENTO E OUTRAS PREPARAÇÕES DE COURO
,,,,,
,,,19.10-0,,Curtimento e outras preparações de couro
,,,,,
,,19.2,,,FABRICAÇÃO DE ARTIGOS PARA VIAGEM E DE ARTEFATOS DIVERSOS DE COURO
,,,,,
,,,19.21-6,,"Fabricação de malas, bolsas, valises e outros artefatos para viagem, de qualquer material"
,,,19.29-1,,Fabricação de outros artefatos de couro
,,,,,
,,19.3,,,FABRICAÇÃO DE CALÇADOS
,,,,,
,,,19.31-3,,Fabricação de calçados de couro
,,,19.32-1,,Fabricação de tênis de qualquer material
,,,19.33-0,,Fabricação de calçados de plástico
,,,19.39-9,,Fabricação de calçados de outros materiais
,,,,,
,20,,,,FABRICAÇÃO DE PRODUTOS DE MADEIRA
,,,,,
,,20.1,,,DESDOBRAMENTO DE MADEIRA
,,,,,
,,,20.10-9,,Desdobramento de madeira
,,,,,
,,20.2,,,"FABRICAÇÃO DE PRODUTOS DE MADEIRA, CORTIÇA E MATERIAL TRANÇADO - EXCLUSIVE MÓVEIS"
,,,,,
,,,20.21-4,,"Fabricação de madeira laminada e de chapas de madeira compensada, prensada ou aglomerada"
,,,20.22-2,,"Fabricação de esquadrias de madeira, de casas de madeira pré-fabricadas, de estruturas de madeira e artigos de carpintaria"
,,,20.23-0,,Fabricação de artefatos de tanoaria e embalagens de madeira
,,,20.29-0,,"Fabricação de artefatos diversos de madeira, palha, cortiça e material trançado - exclusive móveis"
,,,,,
,21,,,,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL"
,,,,,
,,21.1,,,FABRICAÇÃO DE CELULOSE E OUTRAS PASTAS PARA A FABRICAÇÃO DE PAPEL
,,,,,
,,,21.10-5,,Fabricação de celulose e outras pastas para a fabricação de papel
,,,,,
,,21.2,,,"FABRICAÇÃO DE PAPEL, PAPELÃO LISO, CARTOLINA E CARTÃO"
,,,,,
,,,21.21-0,,Fabricação de papel
,,,21.22-9,,"Fabricação de papelão liso, cartolina e cartão"
,,,,,
, ,21.3,,,FABRICAÇÃO DE EMBALAGENS DE PAPEL OU PAPELÃO
,,,,,
,,,21.31-8,,Fabricação de embalagens de papel
,,,21.32-6,,Fabricação de embalagens  de papelão - inclusive a fabricação de papelão corrugado
,,,,,
,,21.4,,,"FABRICAÇÃO DE ARTEFATOS DIVERSOS DE PAPEL, PAPELÃO, CARTOLINA E CARTÃO"
,,,,,
,,,21.41-5,,"Fabricação de artefatos de papel, papelão, cartolina e cartão para escritório"
,,,21.42-3,,Fabricação de fitas e formulários contínuos - impressos ou não
,,,21.49-0,,"Fabricação de outros artefatos de pastas, papel, papelão, cartolina e cartão"
,,,,,
,22,,,,"EDIÇÃO, IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES"
,,,,,
,,22.1,,,EDIÇÃO ; EDIÇÃO E IMPRESSÃO 
,,,,,
,,,22.11-0,,Edição ; edição e impressão de jornais
,,,22.12-8,,Edição; edição e impressão de revistas
,,,22.13-6,,Edição; edição e impressão de livros
,,,22.14-4,,"Edição de discos, fitas e outros materiais gravados"
,,,22.19-5,,Edição ; edição e impressão de outros produtos gráficos
,,,,,
,,22.2,,,IMPRESSÃO E SERVIÇOS CONEXOS PARA TERCEIROS
,,,,,
,,,22.21-7,,"Impressão de jornais, revistas e livros"
,,,22.22-5,,Serviço de impressão de material escolar e de material para usos industrial e comercial
,,,22.29-2,,Execução de outros serviços gráficos
,,,,,
,,22.3,,,REPRODUÇÃO DE MATERIAIS GRAVADOS
,,,,,
,,,22.31-4,,Reprodução de discos e fitas
,,,22.32-2,,Reprodução de fitas de vídeos
,,,22.33-0,,Reprodução de filmes
,,,22.34-9,,Reprodução de programas de informática em disquetes e fitas
,,,,,
,23,,,,"FABRICAÇÃO DE COQUE, REFINO DE PETRÓLEO, ELABORAÇÃO DE COMBUSTÍVEIS NUCLEARES E PRODUÇÃO DE ÁLCOOL"
,,,,,
,,23.1,,,COQUERIAS
,,,,,
,,,23.10-8,,Coquerias
,,,,,
,,23.2,,,REFINO DE PETRÓLEO
,,,,,
,,,23.20-5,,Refino de petróleo
,,,,,
,,23.3,,,ELABORAÇÃO DE COMBUSTÍVEIS NUCLEARES
,,,,,
,,,23.30-2,,Elaboração de combustíveis nucleares
,,,,,
,,23.4,,,PRODUÇÃO DE ÁLCOOL
,,,,,
,,,23.40-0,,Produção de álcool
,,,,,
,24,,,,FABRICAÇÃO DE PRODUTOS QUÍMICOS
,,,,,
,,24.1,,,FABRICAÇÃO DE PRODUTOS QUÍMICOS INORGÂNICOS
,,,,,
,,,24.11-2,,Fabricação de cloro e álcalis
,,,24.12-0,,Fabricação de intermediários para fertilizantes
,,,24.13-9,,"Fabricação de fertilizantes fosfatados, nitrogenados e potássicos"
,,,24.14-7,,Fabricação de gases industriais
,,,24.19-8,,Fabricação de outros produtos inorgânicos
,,,,,
,,24.2,,,FABRICAÇÃO DE PRODUTOS QUÍMICOS ORGÂNICOS
,,,,,
,,,24.21-0,,Fabricação de produtos petroquímicos básicos
,,,24.22-8,,Fabricação de intermediários para resinas e fibras
,,,24.29-5,,Fabricação de outros produtos químicos orgânicos
,,,,,
,,24.3,,,FABRICAÇÃO DE RESINAS E ELASTÔMEROS
,,,,,
,,,24.31-7,,Fabricação de resinas termoplásticas
,,,24.32-5,,Fabricação de resinas termofixas
,,,24.33-3,,Fabricação de elastômeros
,,,,,
,,24.4,,,"FABRICAÇÃO DE FIBRAS, FIOS, CABOS E FILAMENTOS CONTÍNUOS ARTIFICIAIS E SINTÉTICOS"
,,,,,
,,,24.41-4,,"Fabricação de fibras, fios, cabos e filamentos contínuos artificiais"
,,,24.42-2,,"Fabricação de fibras, fios, cabos e filamentos contínuos sintéticos"
,,,,,
,,24.5,,,FABRICAÇÃO DE PRODUTOS FARMACÊUTICOS
,,,,,
,,,24.51-1,,Fabricação de produtos farmoquímicos
,,,24.52-0,,Fabricação de medicamentos para uso humano
,,,24.53-8,,Fabricação de medicamentos para uso veterinário
,,,24.54-6,,"Fabricação de materiais para usos médicos, hospitalares e odontológicos"
,,,,,
,,24.6,,,FABRICAÇÃO DE DEFENSIVOS AGRÍCOLAS
,,,,,
,,,24.61-9,,Fabricação de inseticidas
,,,24.62-7,,Fabricação de fungicidas
,,,24.63-5,,Fabricação de herbicidas
,,,24.69-4,,Fabricação de outros defensivos agrícolas
,,,,,
,,24.7,,,"FABRICAÇÃO DE SABÕES, DETERGENTES, PRODUTOS DE LIMPEZA E ARTIGOS DE PERFUMARIA"
,,,,,
,,,24.71-6,,"Fabricação de sabões, sabonetes e detergentes sintéticos"
,,,24.72-4,,Fabricação de produtos de limpeza e polimento
,,,24.73-2,,Fabricação de artigos de perfumaria e cosméticos
,,,,,
,,24.8,,,"FABRICAÇÃO DE TINTAS, VERNIZES, ESMALTES, LACAS E PRODUTOS AFINS"
,,,,,
,,,24.81-3,,"Fabricação de tintas, vernizes, esmaltes e lacas"
,,,24.82-1,,Fabricação de tintas de impressão
,,,24.83-0,,"Fabricação de impermeabilizantes, solventes e produtos afins"
,,,,,
,,24.9,,,FABRICAÇÃO DE PRODUTOS E PREPARADOS QUÍMICOS DIVERSOS
,,,,,
,,,24.91-0,,Fabricação de adesivos e selantes
,,,24.92-9,,Fabricação de explosivos
,,,24.93-7,,Fabricação de catalisadores
,,,24.94-5,,Fabricação de aditivos de uso industrial
,,,24.95-3,,"Fabricação de chapas, filmes, papéis e outros materiais e produtos químicos para fotografia"
,,,24.96-1,,Fabricação de discos e fitas virgens
,,,24.99-6,,Fabricação de outros produtos químicos não especificados ou não classificados
,,,,,
,25,,,,FABRICAÇÃO DE ARTIGOS DE BORRACHA E PLÁSTICO
,,,,,
,,25.1,,,FABRICAÇÃO DE ARTIGOS DE BORRACHA
,,,,,
,,,25.11-9,,Fabricação de pneumáticos e de câmaras-de-ar
,,,25.12-7,,Recondicionamento de pneumáticos
,,,25.19-4,,Fabricação de artefatos diversos de borracha
,,,,,
,,25.2,,,FABRICAÇÃO DE PRODUTOS DE PLÁSTICO
,,,,,
,,,25.21-6,,Fabricação de laminados planos e tubulares plástico
,,,25.22-4,,Fabricação de embalagem de plástico
,,,25.29-1,,Fabricação de artefatos diversos de plástico
,,,,,
,26,,,,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS
,,,,,
,,26.1,,,FABRICAÇÃO DE VIDRO E DE PRODUTOS DO VIDRO
,,,,,
,,,26.11-5,,Fabricação de vidro plano e de segurança
,,,26.12-3,,Fabricação de embalagens de vidro
,,,26.19-0,,Fabricação de artigos de vidro
,,,,,
,,26.2,,,FABRICAÇÃO DE CIMENTO
,,,,,
,,,26.20-4,,Fabricação de cimento
,,,,,
,,26.3,,,"FABRICAÇÃO DE ARTEFATOS DE CONCRETO, CIMENTO, FIBROCIMENTO, GESSO E ESTUQUE"
,,,,,
,,,26.30-1,,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e estuque"
,,,,,
,,26.4,,,FABRICAÇÃO DE PRODUTOS CERÂMICOS
,,,,,
,,,26.41-7,,Fabricação de produtos cerâmicos não-refratários para uso estrutural na construção civil
,,,26.42-5,,Fabricação de produtos cerâmicos refratários
,,,26.49-2,,Fabricação de produtos cerâmicos não-refratários para usos diversos
,,,,,
,,26.9,,,APARELHAMENTO DE PEDRAS E FABRICAÇÃO DE CAL E DE OUTROS PRODUTOS DE MINERAIS NÃO-METÁLICOS
,,,,,
,,,26.91-3,,"Britamento, aparelhamento e outros trabalhos em pedras (não associado a extração)"
,,,26.92-1,,"Fabricação de cal virgem, cal hidratada e gesso"
,,,26.99-9,,Fabricação de outros produtos de minerais não-metálicos
,,,,,
,27,,,,METALURGIA BÁSICA
,,,,,
,,27.1,,,SIDERÚRGICAS INTEGRADAS
,,,,,
,,,27.11-1,,Produção de laminados planos de aço
,,,27.12-0,,Produção de laminados não-planos de aço
,,,,,
,,27.2,,,FABRICAÇÃO DE PRODUTOS SIDERÚRGICOS - EXCLUSIVE EM SIDERÚRGICAS INTEGRADAS
,,,,,
,,,27.21-9,,Produção de gusa
,,,27.22-7,,"Produção de ferro, aço e ferro-ligas em formas primárias e semi-acabados"
,,,27.29-4,,"Produção de relaminados, trefilados e retrefilados de aço - exclusive tubos"
,,,,,
,,27.3,,,FABRICAÇÃO DE TUBOS - EXCLUSIVE EM SIDERÚRGICAS INTEGRADAS
,,,,,
,,,27.31-6,,Fabricação de tubos de aço com costura
,,,27.39-1,,Fabricação de outros tubos de ferro e aço
,,,,,
,,27.4,,,METALURGIA DE METAIS NÃO-FERROSOS
,,,,,
,,,27.41-3,,Metalurgia do alumínio e suas ligas
,,,27.42-1,,Metalurgia dos metais preciosos
,,,27.49-9,,Metalurgia de outros metais não-ferrosos e suas ligas
,,,,,
,,27.5,,,FUNDIÇÃO
,,,,,
,,,27.51-0,,Fabricação de peças fundidas de ferro e aço
,,,27.52-9,,Fabricação de peças fundidas de metais não-ferrosos e suas ligas
,,,,,
,28,,,,FABRICAÇÃO DE PRODUTOS DE METAL - EXCLUSIVE MÁQUINAS E EQUIPAMENTOS
,,,,,
,,28.1,,,FABRICAÇÃO DE ESTRUTURAS METÁLICAS E OBRAS DE CALDEIRARIA PESADA
,,,,,
,,,28.11-8,,"Fabricação de estruturas metálicas para edifícios, pontes, torres de transmissão, andaimes e outros fins"
,,,28.12-6,,Fabricação de esquadrias de metal
,,,28.13-4,,Fabricação de obras de caldeiraria pesada
,,,,,
,,28.2,,,"FABRICAÇÃO DE TANQUES, CALDEIRAS E RESERVATÓRIOS METÁLICOS"
,,,,,
,,,28.21-5,,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central"
,,,28.22-3,,Fabricação de caldeiras geradoras de vapor - exclusive para aquecimento central e para veículos
,,,,,
,,28.3,,,"FORJARIA, ESTAMPARIA, METALURGIA DO PÓ E SERVIÇOS DE TRATAMENTO DE METAIS"
,,,,,
,,,28.31-2,,Produção de forjados de aço
,,,28.32-0,,Produção de forjados de metais não-ferrosos e suas ligas
,,,28.33-9,,Fabricação de artefatos estampados de metal
,,,28.34-7,,Metalurgia do pó
,,,28.39-8,,"Têmpera, cementação e tratamento térmico do aço, serviços de usinagem, galvanotécnica e solda"
,,,,,
,,28.4,,,"FABRICAÇÃO DE ARTIGOS DE CUTELARIA, DE SERRALHERIA E FERRAMENTAS MANUAIS"
,,,,,
,,,28.41-0,,Fabricação de artigos de cutelaria
,,,28.42-8,,Fabricação de artigos de serralheria - exclusive esquadrias
,,,28.43-6,,Fabricação de ferramentas manuais
,,,,,
,,28.9,,,FABRICAÇÃO DE PRODUTOS DIVERSOS DE METAL
,,,,,
,,,28.91-6,,Fabricação de embalagens metálicas
,,,28.92-4,,Fabricação de artefatos de trefilados
,,,28.93-2,,Fabricação de artigos de funilaria e de artigos de metal para usos doméstico e pessoal
,,,28.99-1,,Fabricação de outros produtos elaborados de metal
,,,,,
,29,,,,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS
,,,,,
,,29.1,,,"FABRICAÇÃO DE MOTORES, BOMBAS, COMPRESSORES E EQUIPAMENTOS DE TRANSMISSÃO"
,,,,,
,,,29.11-4,,"Fabricação de motores estacionários de combustão interna, turbinas e outras máquinas motrizes não-elétricas - exclusive para aviões e veículos rodoviários"
,,,29.12-2,,Fabricação de bombas e carneiros hidráulicos
,,,29.13-0,,"Fabricação de válvulas, torneiras e registros"
,,,29.14-9,,Fabricação de compressores
,,,29.15-7,,Fabricação de equipamentos de transmissão para fins industriais - inclusive rolamentos
,,,,,
,,29.2,,,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS DE USO GERAL
,,,,,
,,,29.21-1,,"Fabricação de fornos industriais, aparelhos e equipamentos não-elétricos para instalações térmicas"
,,,29.22-0,,Fabricação de estufas e fornos elétricos para fins industriais
,,,29.23-8,,"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas"
,,,29.24-6,,Fabricação de máquinas e aparelhos de refrigeração e ventilação de uso industrial
,,,29.25-4,,Fabricação de aparelhos de ar condicionado
,,,29.29-7,,Fabricação de outras máquinas e equipamentos de uso geral
,,,,,
,,29.3,,,"FABRICAÇÃO DE TRATORES E DE MÁQUINAS E EQUIPAMENTOS PARA A AGRICULTURA, AVICULTURA E OBTENÇÃO DE PRODUTOS ANIMAIS"
,,,,,
,,,29.31-9,,"Fabricação de máquinas e equipamentos para agricultura, avicultura e obtenção de produtos animais"
,,,29.32-7,,Fabricação de tratores agrícolas
,,,,,
,,29.4,,,FABRICAÇÃO DE MÁQUINAS-FERRAMENTA
,,,,,
,,,29.40-8,,Fabricação de máquinas-ferramenta
,,,,,
,,29.5,,,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA AS INDÚSTRIAS DE EXTRAÇÃO MINERAL E CONSTRUÇÃO
,,,,,
,,,29.51-3,,Fabricação de máquinas e equipamentos para a indústria de prospecção e extração de petróleo
,,,29.52-1,,Fabricação de outras máquinas e equipamentos para a extração de minérios e indústria da construção
,,,29.53-0,,Fabricação de tratores de esteira e tratores de uso na construção e mineração
,,,29.54-8,,Fabricação de máquinas e equipamentos de terraplanagem e pavimentação
,,,,,
,,29.6,,,FABRICAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS DE USO ESPECÍFICO
,,,,,
,,,29.61-0,,Fabricação de máquinas para a indústria metalúrgica - exclusive máquinas-ferramenta
,,,29.62-9,,"Fabricação de máquinas e equipamentos para as indústrias alimentar, de bebida e fumo"
,,,29.63-7,,Fabricação de máquinas e equipamentos para a indústria têxtil
,,,29.64-5,,Fabricação de máquinas e equipamentos para as indústrias do  vestuário e de couro e calçados
,,,29.65-3,,"Fabricação de máquinas e equipamentos para as indústrias de celulose, papel e papelão e artefatos"
,,,29.69-6,,Fabricação de outras máquinas e equipamentos de uso específico
,,,,,
